Account ID;Customer Name;Account Type;Branch;Transaction Type;Transaction Amount;Account Balance;Currency
ACC00026;Shawn Mcguire;Current;Houston;Debit;4688,11;29512,91;JPY
ACC00027;Victoria Greene;Fixed Deposit;Phoenix;Debit;1222,86;81274,27;USD
ACC00028;Kimberly Gonzalez;Current;New York;Debit;3998,23;5871,26;EUR
ACC00029;Diana Owens;Current;Los Angeles;Credit;4097,33;82536,62;GBP
ACC00030;Jane Gonzalez MD;Fixed Deposit;Los Angeles;Debit;2286,73;61707,2;INR
ACC00031;Jasmine Cooper;Current;Phoenix;Credit;3548,11;17274,5;USD
ACC00032;Carla Munoz;Savings;Chicago;Debit;2522,17;21325,21;JPY
ACC00033;Isaac Bolton;Recurring Deposit;San Diego;Credit;1607,59;82879,74;USD
ACC00034;Heather Mcdowell;Fixed Deposit;Chicago;Credit;1621,68;16335,32;JPY
ACC00035;Paul Harris;Savings;Phoenix;Credit;3680,74;59576,91;USD
ACC00036;Dr. Tammy Hinton;Fixed Deposit;New York;Debit;113,71;35213,26;USD
ACC00037;Andrew Martinez;Fixed Deposit;Philadelphia;Credit;4162,99;16522,71;USD
ACC00038;Christina Berg;Savings;San Antonio;Debit;2846,12;65268,42;INR
ACC00039;Carmen Carter;Savings;Philadelphia;Debit;1878,25;99366,77;EUR
ACC00040;Robert Wright;Recurring Deposit;Houston;Credit;2068,21;55714,59;GBP
ACC00041;Michael Bates;Recurring Deposit;Houston;Credit;1996,17;73403,15;INR
ACC00042;Sarah Nixon;Current;Philadelphia;Debit;818,61;21902,07;USD
ACC00043;Clayton Ibarra;Savings;Philadelphia;Debit;3436,2;48114,64;USD
ACC00044;Shelby Brown;Fixed Deposit;San Antonio;Debit;4158,46;796,81;INR
ACC00045;Jessica Day;Recurring Deposit;Chicago;Credit;4081,49;42236,84;USD
ACC00046;William Morrow;Current;Houston;Debit;985,14;79001,83;JPY
ACC00047;Alice Diaz;Fixed Deposit;Phoenix;Credit;2925,16;32235,25;USD
ACC00048;Kenneth Stevens;Current;Philadelphia;Credit;3486,73;18562,59;EUR
ACC00049;Lisa Chen;Savings;Chicago;Debit;880,59;50649,93;INR
ACC00050;John Vega;Fixed Deposit;San Diego;Credit;2419,09;2109,83;GBP
ACC00051;Robert Sherman;Fixed Deposit;Houston;Debit;4318,8;68715,56;GBP
ACC00052;Michael Barrett;Fixed Deposit;Chicago;Credit;1775,2;17227,18;INR
ACC00053;Shelly Carter;Current;Philadelphia;Debit;3030,01;48218,88;INR
ACC00054;Cynthia Watkins;Recurring Deposit;Houston;Debit;181,47;77919,1;GBP
ACC00055;Kenneth Rogers;Fixed Deposit;San Diego;Credit;430,32;34015,59;GBP
ACC00056;Chad Wilson;Recurring Deposit;Philadelphia;Credit;580,06;3690,84;GBP
ACC00057;Scott Clark;Savings;Philadelphia;Debit;4654,88;62999,01;INR
ACC00058;Mackenzie Black;Fixed Deposit;Chicago;Debit;4623,08;43875,17;GBP
ACC00059;William Munoz;Recurring Deposit;Philadelphia;Credit;4806,54;23910,78;GBP
ACC00060;Natasha Hurst;Savings;Chicago;Debit;882,71;75769,2;JPY
ACC00061;Tamara Cruz;Current;San Diego;Credit;2653,11;57726,31;JPY
ACC00062;Denise Williamson;Fixed Deposit;Philadelphia;Debit;3973,05;7176,95;USD
ACC00063;Michael Reed;Fixed Deposit;Phoenix;Debit;4615,78;47326,29;EUR
ACC00064;Stefanie Wilson;Savings;Los Angeles;Credit;4637,41;393,01;GBP
ACC00065;Daniel Ramirez;Fixed Deposit;Philadelphia;Debit;1704,71;41720,66;EUR
ACC00066;Amanda Mckenzie;Current;Houston;Debit;3049,58;90044,47;USD
ACC00067;Sarah Johnson;Savings;Phoenix;Debit;3780,17;72696,16;GBP
ACC00068;Daniel Ramos;Fixed Deposit;Chicago;Debit;596,72;63754,65;EUR
ACC00069;Maria Wright;Recurring Deposit;San Antonio;Credit;2065,18;74679,01;EUR
ACC00070;Holly Trujillo MD;Fixed Deposit;Houston;Credit;1754,78;18542,64;GBP
ACC00071;Michael Martinez;Savings;Los Angeles;Credit;4692;46234,57;JPY
ACC00072;Austin Bird;Savings;Houston;Credit;1671,08;26729,26;JPY
ACC00073;Sheila Hogan;Recurring Deposit;Houston;Credit;676,16;71837,22;EUR
ACC00074;Barbara White;Fixed Deposit;Houston;Credit;691,55;7499,09;JPY
ACC00075;Kevin Davis;Current;Los Angeles;Debit;955,62;49465,99;EUR
ACC00076;Jessica Ponce;Recurring Deposit;Chicago;Credit;568,67;31823,94;GBP
ACC00077;Michelle Wilson;Current;Chicago;Credit;4547,39;57360,65;USD
ACC00078;Kenneth Brown;Recurring Deposit;Phoenix;Debit;4595,13;67980,1;EUR
ACC00079;Sherri Brown;Fixed Deposit;Houston;Credit;817,2;52708,8;EUR
ACC00080;Jessica Young;Savings;Chicago;Credit;1057,53;82039,35;EUR
ACC00081;Xavier Landry;Current;Phoenix;Credit;65,81;62071,52;GBP
ACC00082;Leslie Hernandez;Current;San Diego;Debit;2763,82;74837,43;USD
ACC00083;Jonathan Thompson;Recurring Deposit;Philadelphia;Debit;3471,37;13249,1;USD
ACC00084;Ann Carroll;Current;Chicago;Debit;4861,87;72086,45;JPY
ACC00085;Scott Guzman;Savings;Houston;Debit;2253,64;54334,89;JPY
ACC00086;Shelly Smith;Savings;San Antonio;Debit;2751,27;34592,58;JPY
ACC00087;Kevin Williams;Current;New York;Credit;1506,13;85560,53;JPY
ACC00088;Brittney Collins;Current;New York;Credit;4398,37;66553,43;EUR
ACC00089;Steven Grant;Fixed Deposit;San Antonio;Debit;2455,79;57810,54;EUR
ACC00090;Alexandra Gutierrez;Savings;New York;Debit;292,86;8477,59;GBP
ACC00091;Robert Faulkner;Fixed Deposit;San Diego;Debit;4349,47;82704,91;JPY
ACC00092;Crystal Burke;Fixed Deposit;Phoenix;Credit;1905,09;40293,48;GBP
ACC00093;Travis Diaz;Current;Chicago;Credit;1873,93;54243,13;GBP
ACC00094;Kevin Dawson;Recurring Deposit;New York;Debit;720,93;7602,26;JPY
ACC00095;Joseph Burton;Savings;San Antonio;Debit;2531,24;22733,84;EUR
ACC00096;Christina Greer;Recurring Deposit;Phoenix;Debit;1822,42;57032,59;JPY
ACC00097;Kevin Barnett;Fixed Deposit;Houston;Debit;4236,17;34227,02;INR
ACC00098;Margaret Vasquez;Current;San Diego;Debit;1438,73;75490,27;USD
ACC00099;Jasmine Stephens;Fixed Deposit;New York;Credit;633,58;11541,32;GBP
ACC00100;Stacy Pacheco;Current;Philadelphia;Debit;2661,73;5805,76;EUR
ACC00101;Alicia Sanders;Savings;Los Angeles;Debit;527,86;65478,82;USD
ACC00102;Rachel Henry;Fixed Deposit;Houston;Credit;3011,55;64493;GBP
ACC00103;Lisa Gilbert;Current;Los Angeles;Debit;2335,61;18139,57;INR
ACC00104;Lisa Perez;Fixed Deposit;Philadelphia;Debit;816,25;64629,04;JPY
ACC00105;Craig Schmidt;Current;San Diego;Credit;268,34;88451,49;JPY
ACC00106;Madison Mathews;Recurring Deposit;Houston;Debit;3909,87;60738,52;JPY
ACC00107;Stephen Mitchell;Current;San Diego;Debit;3040,32;81862,74;GBP
ACC00108;Lauren Pace;Savings;Houston;Debit;3883,95;15243,42;JPY
ACC00109;Jill Schmidt;Current;Philadelphia;Debit;464,64;27536,16;USD
ACC00110;Robert Hammond;Current;New York;Credit;708,56;39278,85;GBP
ACC00111;Mr. James Stephens;Savings;San Antonio;Debit;2892,39;72000,67;GBP
ACC00112;Colleen Mullins;Recurring Deposit;San Antonio;Debit;3521,46;14370,6;INR
ACC00113;Beth Jimenez;Current;Chicago;Credit;2710,24;2803,2;GBP
ACC00114;Andre Berry;Savings;New York;Debit;1403,54;1181,77;GBP
ACC00115;William Diaz;Savings;San Antonio;Debit;353,83;69366,06;GBP
ACC00116;Charles Scott;Current;Houston;Credit;969,45;42922,35;JPY
ACC00117;Colleen Prince;Fixed Deposit;Los Angeles;Debit;82,71;45435,62;JPY
ACC00118;Robert Holland DDS;Savings;Houston;Credit;4032,66;55210,31;INR
ACC00119;Jennifer Mahoney;Current;Chicago;Debit;916;60043,73;GBP
ACC00120;Amber Vasquez;Savings;Phoenix;Credit;1250,19;38811,2;INR
ACC00121;Paul Skinner;Current;Los Angeles;Debit;4372,7;49593,54;EUR
ACC00122;Kelsey White;Savings;San Diego;Credit;204,76;94999,8;INR
ACC00123;Michelle Smith;Fixed Deposit;Chicago;Credit;1990,09;57477,82;EUR
ACC00124;Keith Roman;Savings;Los Angeles;Credit;2755,95;4791,01;GBP
ACC00125;Thomas Dunlap;Savings;Houston;Debit;3435,91;54789,44;EUR
ACC00126;Wesley Little;Current;Houston;Credit;2623,74;28614,45;GBP
ACC00127;Louis Garner;Fixed Deposit;Houston;Debit;4049,94;59388,02;EUR
ACC00128;Angel Morris;Recurring Deposit;Philadelphia;Debit;771,36;77266,43;USD
ACC00129;Elizabeth Carney;Recurring Deposit;San Diego;Debit;1916,72;71341,11;USD
ACC00130;Cheryl Wong;Savings;Philadelphia;Debit;671,25;86450,54;GBP
ACC00131;Haley Day;Recurring Deposit;Philadelphia;Debit;529,17;70506,03;USD
ACC00132;Melissa Walton;Fixed Deposit;Los Angeles;Debit;1827,57;27825,15;JPY
ACC00133;Brandon Holloway;Fixed Deposit;Los Angeles;Credit;3790,44;52812,22;GBP
ACC00134;Michael Arnold;Savings;Houston;Debit;3369,57;3592,61;GBP
ACC00135;Patricia Cordova;Fixed Deposit;San Antonio;Debit;4241,6;25151,8;USD
ACC00136;Barbara Pierce;Recurring Deposit;Houston;Debit;658,88;42526,33;INR
ACC00137;James Raymond;Current;Phoenix;Debit;878,15;1808,02;JPY
ACC00138;Ann Walsh;Recurring Deposit;San Diego;Credit;1181,11;60952,19;JPY
ACC00139;Tami Melendez;Recurring Deposit;Philadelphia;Credit;4659,91;14695,17;EUR
ACC00140;Gina Mcclure;Savings;San Antonio;Credit;2209,54;95252,64;JPY
ACC00141;Russell Garner;Current;New York;Credit;4355,66;11038,48;JPY
ACC00142;Michael Gaines;Current;New York;Credit;4320,18;85507,61;EUR
ACC00143;Elizabeth Hawkins;Current;San Antonio;Debit;3696,8;19856,63;GBP
ACC00144;Michael Evans;Savings;Los Angeles;Debit;1166,65;50135,53;JPY
ACC00145;Robin Walker;Recurring Deposit;San Diego;Credit;772,32;66049,06;GBP
ACC00146;Monique Chandler;Current;Philadelphia;Credit;100,12;8192,57;INR
ACC00147;Michael Johnson;Recurring Deposit;San Diego;Credit;1873,98;19960,22;INR
ACC00148;Tommy Scott;Fixed Deposit;Houston;Credit;1153,06;63421,46;GBP
ACC00149;Felicia Henry;Savings;Philadelphia;Credit;4097;96323,23;INR
ACC00150;Dana Green;Fixed Deposit;Houston;Credit;1851,18;15546,48;GBP
ACC00151;Annette Nolan;Savings;San Diego;Debit;4749,44;36733,96;GBP
ACC00152;James Perez;Recurring Deposit;New York;Credit;3604;19069,79;GBP
ACC00153;Karen Clarke;Fixed Deposit;San Diego;Credit;4178,58;79708,13;USD
ACC00154;Daniel Rodriguez;Recurring Deposit;Los Angeles;Credit;2134,17;9261,58;JPY
ACC00155;Eric Tate;Current;Los Angeles;Debit;4901,98;99470,42;JPY
ACC00156;Kendra Moore;Recurring Deposit;Chicago;Credit;802,31;39978,31;USD
ACC00157;Travis Williams;Recurring Deposit;Chicago;Debit;4667,44;60105,54;JPY
ACC00158;Steven Montgomery;Savings;San Diego;Credit;4864,88;29161,1;GBP
ACC00159;Mark Parker;Savings;Los Angeles;Credit;256,07;51599,39;INR
ACC00160;Jeanette Nelson;Recurring Deposit;Phoenix;Credit;4164,72;29944,09;EUR
ACC00161;Christopher Stewart;Current;New York;Debit;4372,5;1773,55;JPY
ACC00162;Brandy Mullins;Recurring Deposit;San Diego;Credit;1287,61;66413,02;GBP
ACC00163;William Sutton;Fixed Deposit;San Antonio;Debit;3766,1;89726,37;GBP
ACC00164;Michael Marsh;Current;Los Angeles;Credit;1483,79;67614,29;USD
ACC00165;Wendy Wade;Recurring Deposit;Chicago;Credit;3197,18;64593,35;GBP
ACC00166;Luis Jacobs;Recurring Deposit;San Antonio;Credit;3635,44;30762;EUR
ACC00167;Teresa Jones;Recurring Deposit;Chicago;Debit;3365,31;13215,91;EUR
ACC00168;Natasha Braun;Savings;Chicago;Credit;2274,93;92951,88;INR
ACC00169;Brandy Boyd;Current;Houston;Credit;4975,61;25222,31;JPY
ACC00170;Anna Keller;Recurring Deposit;San Diego;Debit;142,52;15221,54;USD
ACC00171;Kaitlin Lamb;Savings;Houston;Credit;2196,57;48382,31;JPY
ACC00172;Rebecca Edwards;Savings;San Antonio;Credit;120,43;7807,42;USD
ACC00173;Marie Mccall;Fixed Deposit;Houston;Debit;1280,9;8992,86;USD
ACC00174;Anna Grimes;Savings;San Diego;Debit;3810,46;30465,71;JPY
ACC00175;Joseph Flowers;Savings;Chicago;Debit;1951,53;52814,05;JPY
ACC00176;Richard Lynn;Recurring Deposit;Los Angeles;Credit;2312,14;58832,56;GBP
ACC00177;Jesus Smith;Recurring Deposit;Philadelphia;Debit;4157,58;18474,6;GBP
ACC00178;Tamara Carlson;Recurring Deposit;San Antonio;Debit;4885,56;4914,24;JPY
ACC00179;Steven James;Current;Houston;Credit;2915,97;9694,06;GBP
ACC00180;Craig Baker;Fixed Deposit;San Diego;Debit;2862,87;60021,87;EUR
ACC00181;Mark Bridges;Savings;Los Angeles;Debit;326,51;79270,03;GBP
ACC00182;Richard Simmons;Recurring Deposit;Chicago;Credit;1351,29;35576,53;USD
ACC00183;Kathleen Herrera;Savings;Houston;Credit;4526,59;78821,22;INR
ACC00184;Chelsea Escobar;Fixed Deposit;New York;Credit;2747,17;41946,55;JPY
ACC00185;Lori Morales;Recurring Deposit;Phoenix;Credit;1639,15;73330,09;USD
ACC00186;Stephen Melendez;Current;Philadelphia;Credit;780,23;15174,4;EUR
ACC00187;Erika Sanford;Savings;Los Angeles;Credit;3310,44;84290,22;GBP
ACC00188;Melissa Davis;Current;Houston;Credit;4694,58;5219,29;INR
ACC00189;Roy Mclean;Fixed Deposit;Los Angeles;Debit;495,14;89197,25;GBP
ACC00190;Brandon Wilkinson;Fixed Deposit;New York;Debit;1917,91;615,52;USD
ACC00191;Julie Rodriguez;Fixed Deposit;San Antonio;Credit;2837,76;84772,88;EUR
ACC00192;Dr. Alison Byrd;Current;Los Angeles;Credit;726,35;16072,37;EUR
ACC00193;Rebecca Buck;Savings;New York;Credit;4712,89;51471,04;EUR
ACC00194;Robert Ortiz;Recurring Deposit;Philadelphia;Credit;3341,72;80436,76;USD
ACC00195;Dr. Martin Harris DDS;Current;New York;Debit;779,99;99920,6;INR
ACC00196;Jennifer Tran;Recurring Deposit;Chicago;Credit;2591,51;96479,09;JPY
ACC00197;Kristi Mcintosh;Savings;San Antonio;Credit;3758,66;94916,15;INR
ACC00198;Natasha Rogers;Recurring Deposit;Philadelphia;Credit;2742,16;23187,02;EUR
ACC00199;Jocelyn Hunter;Recurring Deposit;Los Angeles;Credit;3827,7;59192,07;GBP
ACC00200;Casey Small;Recurring Deposit;New York;Debit;4350,81;17434,95;INR
ACC00201;Amy Johns;Fixed Deposit;Houston;Debit;3166,81;68358,96;JPY
ACC00202;Austin Thomas;Fixed Deposit;Phoenix;Debit;4164;2829,77;USD
ACC00203;Mrs. Alicia Cox;Fixed Deposit;San Diego;Credit;4254,19;89923,05;INR
ACC00204;Heather Thornton;Savings;San Diego;Debit;3205,58;1904,35;INR
ACC00205;Shane Romero;Savings;New York;Debit;750,2;77032,65;GBP
ACC00206;Matthew Davidson;Savings;Los Angeles;Debit;3413,8;58402,21;GBP
ACC00207;John Fox;Savings;San Antonio;Credit;525,88;44143,5;JPY
ACC00208;Amy Munoz;Current;Houston;Credit;1586,45;18977,34;EUR
ACC00209;Daniel Jackson;Fixed Deposit;Phoenix;Debit;2802,39;60201,45;USD
ACC00210;Michaela Bell;Savings;San Diego;Credit;389,6;10930,33;JPY
ACC00211;Jonathan Ramirez;Current;New York;Debit;378,23;66262,6;USD
ACC00212;John Bennett;Current;San Antonio;Credit;1371,06;40798,15;JPY
ACC00213;Sharon Yates;Savings;San Antonio;Debit;3470,72;38688,31;USD
ACC00214;Kurt Hall;Recurring Deposit;Chicago;Credit;2458,57;59547,47;INR
ACC00215;Jared Thompson;Fixed Deposit;Chicago;Credit;4314,73;80119,84;GBP
ACC00216;Mary Parsons;Fixed Deposit;Philadelphia;Credit;2040,88;36136,25;USD
ACC00217;Austin Pennington;Fixed Deposit;Los Angeles;Debit;3373,53;5037,03;EUR
ACC00218;Colin Smith Jr.;Recurring Deposit;San Antonio;Debit;670,01;614,12;EUR
ACC00219;Stephanie Dickerson;Fixed Deposit;Los Angeles;Credit;4577,8;19772,44;GBP
ACC00220;Lisa Morgan;Savings;Los Angeles;Debit;2128,63;65401,75;GBP
ACC00221;Michael Myers;Current;New York;Debit;276,24;82385,8;GBP
ACC00222;Thomas Owen;Current;Phoenix;Debit;909,95;68593,58;EUR
ACC00223;Susan White;Current;Phoenix;Debit;4003,68;73863,31;JPY
ACC00224;Haley Norman;Current;Houston;Credit;3440,09;40291,97;EUR
ACC00225;Jerry Skinner;Fixed Deposit;Los Angeles;Debit;257,73;76334,67;GBP
ACC00226;Brian Ryan;Fixed Deposit;Houston;Debit;1718,61;52174,69;EUR
ACC00227;Erin Estes;Recurring Deposit;San Diego;Credit;2166,2;17285,67;USD
ACC00228;Roger Mcbride;Current;Houston;Debit;4756,51;67549,42;JPY
ACC00229;Steven Stewart;Savings;Houston;Credit;4910,86;43994,24;EUR
ACC00230;Bryce Grimes;Savings;Los Angeles;Debit;1346,27;59189,39;JPY
ACC00231;Nicholas Sloan;Fixed Deposit;San Antonio;Debit;277,66;93988,74;USD
ACC00232;Dr. Michael West;Savings;Los Angeles;Credit;4374,48;58148,6;JPY
ACC00233;Michael Torres;Savings;Los Angeles;Credit;1213,51;33251,35;EUR
ACC00234;Christopher Edwards;Savings;Philadelphia;Debit;3652,16;32559,64;USD
ACC00235;Laura Lawson;Current;Houston;Debit;2023,45;13610,23;GBP
ACC00236;Jacob Carter;Recurring Deposit;San Diego;Debit;4959,92;52957,31;JPY
ACC00237;Andrea Smith;Savings;San Antonio;Credit;4194,73;63900,54;INR
ACC00238;John Phillips DDS;Current;San Antonio;Debit;2588,8;24949,77;GBP
ACC00239;Robert Davis;Fixed Deposit;Houston;Debit;3814,85;15017,67;JPY
ACC00240;Jeffrey Gallegos;Current;San Antonio;Credit;1229,95;36758,98;GBP
ACC00241;Clifford Hicks;Fixed Deposit;San Diego;Debit;1576,52;87714,9;INR
ACC00242;Alexis Smith;Current;Houston;Credit;4189,35;15949,47;EUR
ACC00243;Monique Stone;Savings;Los Angeles;Credit;4620,09;56152,02;JPY
ACC00244;Brian Collins;Current;San Diego;Credit;1491,66;37182,13;JPY
ACC00245;Valerie Clayton;Current;Phoenix;Credit;3948,08;92813,69;EUR
ACC00246;Martha Miller;Recurring Deposit;New York;Credit;4973,02;74435,08;USD
ACC00247;Michael Ray;Current;Phoenix;Credit;1789,64;83648,85;JPY
ACC00248;Kevin Donaldson;Current;San Antonio;Credit;3405;30168,91;GBP
ACC00249;Mark Medina;Savings;Houston;Credit;3775,94;32454,44;JPY
ACC00250;Elizabeth Stevens;Fixed Deposit;Phoenix;Credit;3051,49;25374,32;JPY
ACC00251;Mario Barnett;Savings;Chicago;Credit;4028,45;95059,31;GBP
ACC00252;Joanna Walker;Current;Los Angeles;Debit;603,49;25740,07;USD
ACC00253;Jason Rowe;Fixed Deposit;Houston;Credit;2676,91;70482,73;USD
ACC00254;Maria Gonzalez;Fixed Deposit;Chicago;Credit;1336,54;67898,57;GBP
ACC00255;Charles Long;Recurring Deposit;San Diego;Debit;4692,61;56970,14;USD
ACC00256;Becky Davis;Recurring Deposit;Phoenix;Debit;2618,41;66838,33;EUR
ACC00257;Harold Bell;Current;Chicago;Credit;2654,1;99388,43;EUR
ACC00258;Kyle Morales;Current;Los Angeles;Credit;4296,38;73078,35;JPY
ACC00259;Philip Lyons;Savings;Chicago;Debit;4491,99;51838,95;EUR
ACC00260;James Morris;Recurring Deposit;Los Angeles;Credit;290,74;60471,77;JPY
ACC00261;Dave Romero;Recurring Deposit;Phoenix;Debit;671,71;93490,65;JPY
ACC00262;Thomas Riddle;Savings;Phoenix;Credit;3899,7;32904,29;JPY
ACC00263;Adam Brooks;Current;Los Angeles;Credit;1451,03;1409,48;INR
ACC00264;Emily Miles;Current;San Diego;Credit;291,44;80151,8;JPY
ACC00265;Alicia Wagner;Current;Houston;Credit;4220,83;76755,97;USD
ACC00266;Amanda Brooks;Fixed Deposit;Philadelphia;Credit;4347,73;48224,66;GBP
ACC00267;Douglas Mayo;Current;San Diego;Debit;2632,44;4727,93;USD
ACC00268;Stephen Stewart;Fixed Deposit;San Antonio;Credit;90,6;49471,24;USD
ACC00269;Ashley Day;Savings;New York;Credit;1753,72;89036,51;JPY
ACC00270;Joseph Garrett;Fixed Deposit;San Diego;Debit;1115,5;76259,81;INR
ACC00271;Catherine Jordan;Current;Chicago;Credit;3801,04;11122,43;INR
ACC00272;Rebecca Grant;Savings;Los Angeles;Debit;3850,11;27489,59;USD
ACC00273;Christopher Lee;Savings;New York;Credit;2518,27;47868,48;USD
ACC00274;George Parker;Fixed Deposit;Phoenix;Credit;2612,73;99118,46;INR
ACC00275;Jennifer Simmons;Current;New York;Debit;3348,81;7551,2;USD
ACC00276;Jeffery Hernandez;Recurring Deposit;San Antonio;Debit;4147,41;69975,17;EUR
ACC00277;Susan Spencer;Savings;Chicago;Credit;3792,25;71190,45;GBP
ACC00278;Brian Pennington;Recurring Deposit;Los Angeles;Debit;1135,92;18561,04;GBP
ACC00279;Michelle Higgins;Savings;San Antonio;Debit;1052,28;98954,65;INR
ACC00280;Lindsey Santos;Savings;Philadelphia;Credit;933,43;41920,48;INR
ACC00281;Glenda Gross;Fixed Deposit;New York;Debit;1512,06;4968,2;EUR
ACC00282;Brandon Hart;Savings;San Antonio;Debit;1627,31;88039,66;EUR
ACC00283;Joshua Cochran;Recurring Deposit;Houston;Debit;1081,21;35023,99;INR
ACC00284;William Chase;Recurring Deposit;New York;Debit;2201,58;65927,42;EUR
ACC00285;Alyssa Ritter;Current;Phoenix;Debit;1581,76;61588,85;EUR
ACC00286;Robin Parker;Fixed Deposit;New York;Debit;4229,52;20145,15;INR
ACC00287;Kimberly Martinez;Savings;Houston;Credit;1758,31;73199,76;USD
ACC00288;Gail Simmons;Recurring Deposit;Los Angeles;Credit;2907,44;91371,46;EUR
ACC00289;Jessica Garcia;Recurring Deposit;New York;Credit;3188,03;60615,66;GBP
ACC00290;Jose Ruiz;Current;San Antonio;Credit;2140,34;33522,83;INR
ACC00291;Audrey Mccarthy;Current;Phoenix;Debit;2115,24;95573,65;JPY
ACC00292;Steven Dorsey;Current;Phoenix;Credit;2621,15;19601,79;JPY
ACC00293;James Jordan;Recurring Deposit;San Diego;Credit;3192,96;4127,42;GBP
ACC00294;Jennifer Gray;Recurring Deposit;San Diego;Credit;2246,21;58058,51;USD
ACC00295;Gary Bruce;Fixed Deposit;Houston;Credit;886,19;25189,89;JPY
ACC00296;Michael Walton;Savings;Chicago;Credit;971,59;37102,2;GBP
ACC00297;Matthew Pearson;Savings;Chicago;Credit;270,05;58217,64;INR
ACC00298;Adam Watson;Recurring Deposit;Los Angeles;Debit;3302,17;50363,68;INR
ACC00299;Lisa Hubbard;Savings;San Antonio;Credit;1327,27;31721,04;USD
ACC00300;Raymond Rojas;Current;New York;Credit;3256,14;7248,31;GBP
ACC00301;Karla Roberts;Recurring Deposit;Houston;Credit;4874,3;93957,12;JPY
ACC00302;Katelyn Garrett;Fixed Deposit;San Antonio;Debit;988,94;9743,63;EUR
ACC00303;Ryan Morrow;Savings;San Antonio;Credit;4109,5;35803,04;INR
ACC00304;Ronald Lopez;Current;Chicago;Debit;1980,75;55805,61;EUR
ACC00305;John Wells;Recurring Deposit;Philadelphia;Debit;4327,3;33377,81;GBP
ACC00306;Ann Gonzalez;Current;Los Angeles;Credit;4570,02;99284,36;INR
ACC00307;Johnny Smith;Savings;Chicago;Credit;1779,75;63870,04;EUR
ACC00308;Melissa Chase;Current;San Antonio;Debit;609,01;54879,03;EUR
ACC00309;Sheila Adams;Savings;New York;Debit;3812,98;63761,9;INR
ACC00310;Jodi Hurley;Current;Chicago;Debit;1081,42;98333,38;USD
ACC00311;Wendy Graham;Current;San Diego;Debit;1982,16;83142,37;EUR
ACC00312;Michelle Shaw;Current;Philadelphia;Credit;2075,61;47851,47;USD
ACC00313;Elizabeth Williams;Current;San Diego;Debit;817,83;57125,63;EUR
ACC00314;Maria Peterson;Current;Philadelphia;Debit;3540,54;93298,59;EUR
ACC00315;Katelyn Miller;Savings;Chicago;Debit;4370,27;79133,21;INR
ACC00316;Amy Gilbert;Savings;Los Angeles;Credit;3227,39;75810,08;INR
ACC00317;Amy Lawrence;Savings;Phoenix;Debit;4866,39;99835,61;USD
ACC00318;Rachel Perez;Current;San Diego;Credit;2952,93;81911,81;EUR
ACC00319;Mark Harris;Savings;Houston;Credit;1858,46;39260,19;EUR
ACC00320;Scott Harris;Current;Phoenix;Credit;4732,88;94595,87;GBP
ACC00321;Patricia Henderson;Savings;Phoenix;Debit;3782,9;44707,27;EUR
ACC00322;Erin Wilson;Savings;Chicago;Debit;3178,25;54282,83;USD
ACC00323;Lee Guzman;Savings;Philadelphia;Credit;3460,03;19698,92;JPY
